"Var1","Freq","Type"
"Drug Violation",2911,"On-Campus"
"Theft",2103,"On-Campus"
"Alcohol Violation",1918,"On-Campus"
"Other Offense",685,"On-Campus"
"Criminal Mischief",572,"On-Campus"
"Criminal Trespass",396,"On-Campus"
"Traffic Offense",332,"On-Campus"
"Harassment",327,"On-Campus"
"Burglary",308,"On-Campus"
"Fraud/Forgery",246,"On-Campus"
"Warrant",202,"On-Campus"
"Assault",190,"On-Campus"
"Sex Offense",180,"On-Campus"
"Disturbance",93,"On-Campus"
"DUI/DWAI",65,"On-Campus"
"Trespassing",44,"On-Campus"
"Info - CSO Report",40,"On-Campus"
"Motor Vehicle Theft",31,"On-Campus"
"Violation - Restraining Order",31,"On-Campus"
"Suspicious Activity",28,"On-Campus"
"Weapon Violation",28,"On-Campus"
