"Var1","Freq","Type"
"DUI/DWAI",1001,"Off-Campus"
"Traffic Offense",925,"Off-Campus"
"Other Offense",342,"Off-Campus"
"Theft",287,"Off-Campus"
"Alcohol Violation",233,"Off-Campus"
"Warrant",223,"Off-Campus"
"Drug Violation",212,"Off-Campus"
"Criminal Trespass",121,"Off-Campus"
"Criminal Mischief",78,"Off-Campus"
"Fraud/Forgery",59,"Off-Campus"
"Sex Offense",51,"Off-Campus"
"Assault",44,"Off-Campus"
"Accident - Other",31,"Off-Campus"
"Motor Vehicle Theft",30,"Off-Campus"
"Burglary",27,"Off-Campus"
"Harassment",22,"Off-Campus"
"Disturbance",20,"Off-Campus"
"Accident - Property Damage",17,"Off-Campus"
"Trespassing",13,"Off-Campus"
"Violation - Restraining Order",11,"Off-Campus"
