"month","amount"
2014-08-01,3
2015-01-01,1
2015-04-01,2
2015-06-01,16
2015-07-01,148
2015-08-01,284
2015-09-01,426
2015-10-01,424
2015-11-01,257
2015-12-01,226
2016-01-01,243
2016-02-01,345
2016-03-01,329
2016-04-01,400
2016-05-01,187
2016-06-01,142
2016-07-01,154
2016-08-01,329
2016-09-01,431
2016-10-01,446
2016-11-01,267
2016-12-01,184
2017-01-01,234
2017-02-01,373
2017-03-01,399
2017-04-01,316
2017-05-01,254
2017-06-01,181
2017-07-01,153
2017-08-01,265
2017-09-01,568
2017-10-01,465
2017-11-01,380
2017-12-01,328
2018-01-01,408
2018-02-01,404
2018-03-01,463
2018-04-01,433
2018-05-01,285
2018-06-01,197
2018-07-01,266
2018-08-01,365
2018-09-01,605
2018-10-01,522
2018-11-01,345
2018-12-01,325
2019-01-01,285
2019-02-01,347
2019-03-01,311
2019-04-01,99
